Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,SkinTone,Speed,Depth,Experiment,source_file,label
Unpolarized_A_Green,C5,0,250,0.0,10.0,0.0,5.659370045396388,0.3749065651688691,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Green,C5,25,275,1.0,11.0,-4.7961634663806756e-17,5.520674556560394,0.1013710230235892,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Green,C5,50,300,2.0,12.0,3.410605131648481e-16,6.631193874124265,0.3747342989167821,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Green,C5,75,325,3.0,13.0,-1.0658141036401505e-17,6.133709414430472,0.1051479691942915,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Green,C5,100,350,4.0,14.0,9.947598300641404e-17,5.872394410567713,0.21668810012343,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Green,C5,125,375,5.0,15.0,5.684341886080802e-17,5.964502294022771,0.1568924852370028,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Green,C5,150,400,6.0,16.0,5.684341886080802e-17,6.120102769769038,0.0727471527117452,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Green,C5,175,425,7.0,17.0,-7.815970093361102e-17,7.389923459971511,-0.2207449452852266,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_A_Green,C5,200,450,8.0,18.0,1.4210854715202004e-17,6.870723848356826,0.1450303054630048,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Green,C5,225,475,9.0,19.0,1.9895196601282808e-16,6.994542690482439,0.2297168949516217,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Red,C2,0,250,0.0,10.0,-3.6948222259525213e-16,7.819656564176862,-0.0657342395683879,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_A_Red,C2,25,275,1.0,11.0,-5.684341886080802e-17,6.907123701782393,0.006353748399902,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Red,C2,50,300,2.0,12.0,0.0,6.7941503567689105,0.1173416132042519,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Red,C2,75,325,3.0,13.0,5.684341886080802e-17,6.376684150392909,0.0966908475549736,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Red,C2,100,350,4.0,14.0,-7.815970093361102e-17,6.4729580001597125,-0.0719260658321617,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_A_Red,C2,125,375,5.0,15.0,-1.70530256582424e-16,7.361040926277632,0.465415185911496,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Red,C2,150,400,6.0,16.0,2.8421709430404013e-16,6.188589216823738,-0.1093807063912955,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_A_Red,C2,175,425,7.0,17.0,1.70530256582424e-16,7.5719545141077775,0.2867081930733145,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Red,C2,200,450,8.0,18.0,1.4210854715202004e-17,7.414772904176337,0.1895058198077774,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_Red,C2,225,475,9.0,19.0,1.4210854715202004e-17,7.445910372784583,0.2739789894682122,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_IR,C4,0,250,0.0,10.0,1.4210854715202004e-17,4.70975335112875,-0.3307860615243673,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_A_IR,C4,25,275,1.0,11.0,-2.2737367544323206e-16,5.284590002982748,-0.4003948005286381,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_A_IR,C4,50,300,2.0,12.0,8.5265128291212e-17,5.422873864985357,-0.2173474135915976,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_A_IR,C4,75,325,3.0,13.0,8.5265128291212e-17,5.630057381682683,-0.174645687028583,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_A_IR,C4,100,350,4.0,14.0,-3.552713678800501e-17,5.703694799035126,0.0404792405479384,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_IR,C4,125,375,5.0,15.0,-9.592326932761351e-17,6.282484975290255,-0.2000078261473092,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_A_IR,C4,150,400,6.0,16.0,-2.1316282072803e-16,5.538339197044594,0.036231846321254,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_IR,C4,175,425,7.0,17.0,5.684341886080802e-17,5.871107739492602,-0.0062437832739895,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_A_IR,C4,200,450,8.0,18.0,1.70530256582424e-16,6.001449337073377,0.1461669440196228,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_A_IR,C4,225,475,9.0,19.0,-1.70530256582424e-16,6.073273006669695,0.184683282577819,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_B_Green,C11,0,250,0.0,10.0,2.1316282072803002e-16,5.998491288915676,0.3342864237253451,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_B_Green,C11,25,275,1.0,11.0,-7.105427357601002e-18,5.726027177183271,-0.0314009333532547,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_B_Green,C11,50,300,2.0,12.0,-2.842170943040401e-17,6.354913812325493,0.4897114363815641,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_B_Green,C11,75,325,3.0,13.0,-1.0658141036401505e-17,5.732556759121864,0.1820822044415886,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_B_Green,C11,100,350,4.0,14.0,8.5265128291212e-17,5.733342877552272,0.1299439227312624,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_B_Green,C11,125,375,5.0,15.0,4.2632564145606006e-17,5.636015064993029,0.1670228782216245,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_B_Green,C11,150,400,6.0,16.0,-3.410605131648481e-16,6.030997830405065,0.1950464254330627,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_B_Green,C11,175,425,7.0,17.0,-5.684341886080802e-17,6.515744294463164,-0.0426740990148575,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_B_Green,C11,200,450,8.0,18.0,2.842170943040401e-17,6.099544274105284,0.1242356466397002,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,1
Unpolarized_B_Green,C11,225,475,9.0,19.0,-8.5265128291212e-17,6.599213950966756,-0.0518939238603449,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_B_Red,C8,0,250,0.0,10.0,-1.5631940186722203e-16,6.367628447755568,-0.2332909084334944,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
Unpolarized_B_Red,C8,25,275,1.0,11.0,1.4210854715202004e-17,6.363467841465022,-0.0841999554051021,Day_1,Medium,Fast,5mm,Experiment_2,FIU_Cleaned_Data/Day_1/Medium/Experiment_2/sqi.csv,0
